TeamName,TeamID
Akron,1103
Alabama,1104
Arizona,1112
Auburn,1120
Baylor,1124
Boise St.,1129
BYU,1140
Charleston,1149
Clemson,1155
Colgate,1159
COL,1160
Colorado St.,1161
Uconn,1163
Creighton,1166
Dayton,1173
Drake,1179
Duke,1181
Duquesne,1182
FAU,1194
Florida,1196
Gonzaga,1211
Grambling,1212
Grand Canyon,1213
Houston,1222
Howard,1224
Illinois,1228
Iowa State,1235
James Madison,1241
Kansas,1242
Kentucky,1246
Long Beach St,1253
Longwood,1255
Marquette,1266
McNeese,1270
Michigan St,1277
Mississippi St,1280
MTST,1286
Morehead St,1287
NC State,1301
Nebraska,1304
Nevada,1305
New Mexico,1307
North Carolina,1314
Northwestern,1321
Oakland,1324
Oregon,1332
Purdue,1345
S Dakota St,1355
Samford,1359
San Diego St,1361
South Carolina,1376
Saint Mary's,1388
Saint Peter's,1389
Stetson,1391
TCU,1395
Tennessee,1397
Texas,1400
Texas A&M,1401
Texas Tech,1403
UAB,1412
Utah State,1429
Vermont,1436
UVA,1438
Western KY,1443
WAG,1447
Washington St,1450
Wisconsin,1458
Yale,1463
